yeshuv,yeshuv_code,amount,f_ussr,ethiopia,india,france,usa,argentina,britain,other,num_of_residents,olim_percent,regional_council,region,office
תל אביב - יפו,5000,39057,21993,4,22,5699,4449,601,1075,5214,569228,6.90%,,תל אביב (מרחב),
נתניה,7400,38987,25685,3,6,10001,749,129,458,1956,262556,14.80%,,נתניה והשרון (מרחב),
חיפה,4000,32320,29069,551,12,421,764,258,96,1149,326272,9.90%,,חיפה (מרחב),
ירושלים,3000,26288,6736,18,19,6089,7308,614,1178,4326,1048551,2.50%,,ירושלים (מרחב),
בת ים,6200,16474,15044,9,3,587,143,22,38,628,156488,10.50%,,חולון (מרחב),
אשדוד,70,14642,10683,4,71,2578,203,101,49,953,256294,5.70%,,אשדוד (מרחב),
ראשון לציון,8300,12555,11229,85,7,368,250,81,37,498,275493,4.60%,,חולון (מרחב),ראשון לציון (סניף)
באר שבע,9000,10094,6259,1906,47,143,389,211,18,1121,224234,4.50%,,באר שבע והנגב (מרחב),
אשקלון,7100,9830,7396,980,0,669,236,55,35,459,163839,6.00%,,אשדוד (מרחב),אשקלון
רעננה,8700,8654,1139,1,10,2447,1369,286,397,3005,94599,9.10%,,נתניה והשרון (מרחב),השרון
נהריה,9100,8580,7242,270,0,241,109,135,19,564,71123,12.10%,,גליל עליון (מרחב),נהריה
פתח תקווה,7900,7916,6429,131,51,155,266,45,68,771,276817,2.90%,,פתח תקוה (מרחב),
רמת גן,8600,7456,5192,2,15,420,510,259,101,957,176956,4.20%,,פתח תקוה (מרחב),
בית שמש,2610,6422,373,9,9,484,3646,70,599,1232,154340,4.20%,,ירושלים (מרחב),בית שמש
הרצליה,6400,5974,2894,3,5,734,912,70,248,1108,117166,5.10%,,תל אביב (מרחב),
קרית ים,9600,5816,5062,394,8,16,33,52,5,246,45681,12.70%,,חיפה (מרחב),הקריות
חולון,6600,5659,4904,42,1,114,174,31,32,361,213083,2.70%,,חולון (מרחב),
אילת,2600,5127,4068,3,12,622,88,64,17,253,68553,7.50%,,באר שבע והנגב (מרחב),אילת
עכו,7600,4716,4571,0,53,22,19,1,1,49,57353,8.20%,,גליל עליון (מרחב),עכו
חדרה,6500,4635,3220,3,4,962,101,46,15,284,109035,4.30%,,חדרה (מרחב),
כרמיאל,1139,4450,3760,0,7,26,168,133,11,345,54290,8.20%,,גליל עליון (מרחב),
רחובות,8400,4385,3464,5,10,66,448,34,36,322,159407,2.80%,,חולון (מרחב),רחובות
נוף הגליל,1061,3936,2991,0,848,6,22,13,7,49,53200,7.40%,,נוף הגליל והעמקים (מרחב),
קרית מוצקין,8200,3647,3312,83,4,30,34,47,0,137,53171,6.90%,,חיפה (מרחב),הקריות
מודיעין-מכבים-רעות,1200,2949,709,0,4,157,1099,56,188,736,100154,2.90%,,פתח תקוה (מרחב),רמלה - לוד
עפולה,7700,2539,2149,2,33,39,138,72,36,70,63975,4.00%,,נוף הגליל והעמקים (מרחב),עפולה
כפר סבא,6900,2241,1235,0,6,128,155,218,20,479,111227,2.00%,,נתניה והשרון (מרחב),השרון
קרית ביאליק,9500,2085,1796,44,1,8,22,97,3,114,48077,4.30%,,חיפה (מרחב),הקריות
צפת,8000,2044,399,991,58,23,352,18,38,165,40584,5.00%,,גליל עליון (מרחב),צפת
חריש,1247,2028,966,0,0,215,116,175,30,526,29925,6.80%,,חדרה (מרחב),
טבריה,6700,1997,705,712,294,46,73,18,18,131,52434,3.80%,,נוף הגליל והעמקים (מרחב),טבריה
מגדל העמק,874,1883,1717,0,76,9,28,14,11,28,29922,6.30%,,נוף הגליל והעמקים (מרחב),מגדל העמק
רמלה,8500,1671,1370,8,39,11,48,14,2,179,83410,2.00%,,פתח תקוה (מרחב),רמלה - לוד
קרית גת,2630,1485,672,489,18,31,165,7,29,74,67370,2.20%,,אשדוד (מרחב),קרית גת
לוד,7000,1463,1263,23,42,14,39,4,7,71,89854,1.60%,,פתח תקוה (מרחב),רמלה - לוד
גבעתיים,6300,1391,758,0,2,81,194,55,29,272,64039,2.20%,,תל אביב (מרחב),
בני ברק,6100,1283,238,2,3,236,123,272,72,337,220714,0.60%,,פתח תקוה (מרחב),בני ברק (מוקד)
קרית אתא,6800,1272,1124,19,3,22,46,8,2,48,65115,2.00%,,חיפה (מרחב),הקריות
גבעת שמואל,681,1197,160,0,0,388,338,21,26,264,29415,4.10%,,פתח תקוה (מרחב),
נשר,2500,1191,1045,0,65,7,26,11,0,37,24841,4.80%,,חיפה (מרחב),
ערד,2560,1130,764,209,1,5,62,10,18,61,32566,3.50%,,באר שבע והנגב (מרחב),ערד
אור עקיבא,1020,1113,841,0,4,89,40,39,1,99,23038,4.80%,,חדרה (מרחב),
טירת כרמל,2100,1072,933,21,0,14,29,17,6,52,29838,3.60%,,חיפה (מרחב),
אריאל,3570,1071,943,0,0,26,51,7,4,40,20675,5.20%,,פתח תקוה (מרחב),אריאל (מוקד)
יקנעם עילית,240,1050,974,3,0,12,29,0,1,31,26196,4.00%,,חדרה (מרחב),
אפרת,3650,1012,33,0,0,22,791,7,26,133,13368,7.60%,,ירושלים (מרחב),קרית ארבע
מעלה אדומים,3616,953,633,2,1,56,188,4,11,58,40733,2.30%,,ירושלים (מרחב),
