מספר חלצ,תאריך רישום חלצ,שם חלצ בעברית,שם חלצ באנגלית,סטטוס חלצ,מטרות ארגון רשמיות,סיווג פעילות ענפי,תחום פעילות,שנת דיווח דוח כספי אחרון,מחזור - נתונים מדוח מילולי מקוון,מתנדבים- נתונים מדוח מילולי מקוון,עובדים- נתונים מדוח מילולי מקוון,איזורי פעילות,מקומות פעילות,תאריך עדכון אחרון של נתוני חלצ,כתובת - ישוב,כתובת - רחוב,כתובת - מספר דירה,כתובת - מיקוד,מען - ישוב,מען - רחוב,מען - מספר דירה,מען - מיקוד,מען - מיקוד תיבת דואר,מען - תיבת דואר,תאריך התחלה תוקף מטרות עמותה,תאריך ביקורת עומק אחרונה,Column1
514446830,,בית ספר תקוות ישראל בע~מ (חל~צ),BEIT SEFER TIKVAT YISRAEL LTD (CC),פעילה,,"חינוך, השכלה והכשרה מקצועית","אחר - חינוך, השכלה והכשרה מקצועית",,,,,,,21/12/2022,נס ציונה,עצמון,6,7409023,,,,0,0,0,,,
560016925,,"דה אנדריה אנד צ'רלז ברונפמן פילנת'רופיז, אינק. (רשומה בדלוור, ארה~ב)  (חל~צ)","THE ANDREA AND CHARLES BRONFMAN PHILANTHROPIES, INC. (DELAWARE USA) (CC)",פעילה,,שירותי רווחה,אחר - שירותי רווחה,,,,,,,20/12/2022,ירושלים,מרכוס,1,9223101,,,,0,0,0,,,
514043850,26/11/2012,קרן נתן  בע~מ (חל~צ),KEREN NATAN   LTD (CC),פעילה,לעסוק בכל עיסוק חוקי,שירותי רווחה,אחר - שירותי רווחה,2022,5769926,5,5,דרום,,23/03/2023,רמת גן,תובל,11,5252226,,,,0,0,0,,,
513989087,,הלל ישראל בע~מ (חל~צ),HILLEL ISRAEL LTD (CC),פעילה,לעסוק בכל עיסוק חוקי,"חינוך, השכלה והכשרה מקצועית","אחר - חינוך, השכלה והכשרה מקצועית",2022,11538793,311,61,מרכז,,20/12/2022,ירושלים,בובר מרטין,1,9765300,,,,0,0,0,,,
514249085,26/10/2014,אלמיתאק לזכויות אדם בע~מ (חל~צ),ALMEETHAQ FOR HUMAN RIGHTS LTD (CC),פעילה,לעסוק בכל עיסוק חוקי,"ארגוני סנגור, שינוי חברתי ופוליטי",סיוע משפטי,,,,,,,20/12/2022,ירושלים,הארון אל-רשיד,17,9591314,,,,0,0,0,,,
513905133,29/11/2012,חברת ~מואססת דאר אלאולאד~ בע~מ (חל~צ),~DAR ELAWLAD INSTITUTION~ COMPANY LTD (CC),פעילה,לעסוק בכל עיסוק חוקי,"חינוך, השכלה והכשרה מקצועית","אחר - חינוך, השכלה והכשרה מקצועית",2021,3413212,0,32,מרכז,,29/03/2023,ירושלים,עלי אבן אבו טאלב,0,9711000,ירושלים,,,0,19083,19083,,,
513958157,26/12/2012,חב-רות (חל~צ),HAVE-RUT (CC),פעילה,לעסוק בכל עיסוק חוקי,קהילה וחברה,אחר - קהילה וחברה,2022,1779789,52,22,צפון,,20/12/2022,ירושלים,אלרואי דוד,3,9210803,ירושלים,,,9104401,4553,4553,,,
513979575,11/02/2013,מוסדות הרב רבי בע~מ (חל~צ),MOSDOT HARAV RABI LTD (CC),פעילה,לעסוק בכל עיסוק חוקי,"חינוך, השכלה והכשרה מקצועית","אחר - חינוך, השכלה והכשרה מקצועית",2021,1279170,0,10,תל אביב,,13/02/2023,חולון,רמב~ם,30,5823120,ירושלים,,,9150001,50000,50000,,,
513899153,11/02/2013,החברה לאמנות ולתרבות הרצליה בע~מ (חל~צ),HERZLIYA ART AND CULTURE COMPANY LTD (CC),פעילה,לעסוק בכל עיסוק חוקי,תרבות או אמנות,אחר - תרבות ואומנות,2022,42988000,31,242,מרכז,,20/12/2022,הרצליה,בן גוריון,2,4678501,,,,0,0,0,,,
514094036,26/11/2012,מוסד נור לחינוך בע~מ (חל~צ),,פעילה,לעסוק בכל עיסוק חוקי,"חינוך, השכלה והכשרה מקצועית","אחר - חינוך, השכלה והכשרה מקצועית",,,,,,,20/12/2022,רמלה,חגי,17,7222317,,,,0,0,0,,,
