מספר עמותה,שם עמותה,תאריך קבלת התרומה,ישות מדינית זרה תורמת,סוג ישות מדינית זרה תורמת (קוד),סכום התרומה בש~ח,מטבע,שער המרה,מטרת תרומה,התנאים לתרומה,שנת תרומה,רבעון תרומה,עיקר מימון תרומות מישות מדינית זרה,Column1
580000370,עוז ושלום~ החוג הרעיוני לציונות דתית (ע~ר),29/06/2021,Stichingqnet solidariteits fand,איחוד~ ארגון או חבר של גופים זרים,47416,אירו,3.95,עלון שבת שלום,,2020,ראשון,לא,
580000370,עוז ושלום~ החוג הרעיוני לציונות דתית (ע~ר),29/06/2021,Penn Commissie Dienst,איחוד~ ארגון או חבר של גופים זרים,3296,אירו,3.88,עלון שבת שלום,,2020,ראשון,לא,
580002053,סינמטק תל - אביב (ע~ר),01/07/2019,שגרירות אוסטריה,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,4350,אירו,4.23,תמיכה בפסטיבל הסטודנטים,ללא,2018,רביעי,לא,
580002053,סינמטק תל - אביב (ע~ר),01/07/2019,שגרירות יוון,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,1577,אירו,4.15,כרטיסי טיסה לאמנים משתתפים בפסטיבל הסטודנטים,ללא,2018,רביעי,לא,
580002053,סינמטק תל - אביב (ע~ר),01/07/2019,שגרירות הונגריה,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,7600,אירו,4.2,כרטיסי טיסה אורחים מהונגריה לפסטיבל הסטונדטים ,ללא,2018,רביעי,לא,
580002053,סינמטק תל - אביב (ע~ר),01/07/2019,שגרירות אוסטריה,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,2635,אירו,4.22,תמיכה בפסטיבל הסטודנטים,ללא,2018,רביעי,לא,
580002053,סינמטק תל - אביב (ע~ר),01/07/2019,שגרירות ארה~ב,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,36400,דולר ארה~ב,3.64,תמיכה בפרוייקט אוטובוס הסרטים,ללא,2018,רביעי,לא,
580002053,סינמטק תל - אביב (ע~ר),01/07/2019,שגרירות קנדה,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,2748,דולר קנדי,2.76,תמיכה בפסטיבל הסטודנטים,ללא,2018,רביעי,לא,
580002053,סינמטק תל - אביב (ע~ר),01/07/2019,שגרירות פורטוגל,איחוד~ ארגון או חבר של מדינות זרות,5133,אירו,4.27,תמיכה בפסטיבל הסטודנטים,ללא,2018,רביעי,לא,
580002053,סינמטק תל - אביב (ע~ר),01/07/2019,שגרירות רומניה,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,4210,אירו,4.34,תמיכה בפסטיבל הגאה,ללא,2018,רביעי,לא,
580002053,סינמטק תל - אביב (ע~ר),01/07/2019,שגרירות ברזיל,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,7315,אירו,4.27,תמיכה בתשלום זכויות סרטים לפסטיבל הגאה,ללא,2018,רביעי,לא,
580002053,סינמטק תל - אביב (ע~ר),01/07/2019,שגרירות ארה~ב,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,20925,דולר ארה~ב,3.63,תמיכה בפסטיבל הגאה,ללא,2018,רביעי,לא,
580002053,סינמטק תל - אביב (ע~ר),01/07/2019,קרן רייאן אנגליה,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,34310,לירה שטרלינג,4.77,תמיכה בפרוייקט טלויזיה קהילתית,ללא,2018,רביעי,לא,
580002053,סינמטק תל - אביב (ע~ר),28/03/2023,שגרירות גרמניה בישראל,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,233000,אירו,3.88,ביצוע פרויקט 100 ראיונות לקהילה הלהטבית,בחירה והתקשרות עם יוצר לביצוע הפרויקט,2021,רביעי,לא,
580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות קנדה,מדינה זרה,7500,שקל חדש,0,פסטיבל גאה,פסטיבל גאה,2017,ראשון,לא,
580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות פורטגל,מדינה זרה,5726,שקל חדש,3.88,פסטיבל הגאה,פסטיבל הגאה,2017,שני,לא,
580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות אירלנד,מדינה זרה,3880,שקל חדש,0,פסטיבל הגאה,פסטיבל הגאה,2017,שני,לא,
580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות פינלנד,מדינה זרה,2691,שקל חדש,0,פסטיבל גאה,פסטיבל הגאה,2017,שני,לא,
580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות נורבגיה,מדינה זרה,3152,אירו,3.94,פסטיבל הסטודנטים,פסטיבל הסטודנטים,2017,שני,לא,
580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות שוויץ,מדינה זרה,1802,אירו,3.9,פסטיבל הסטודנטים,פסטיבל הסטודנטים,2017,שני,לא,
580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות שבדיה,מדינה זרה,3000,שקל חדש,0,פסטיבל הגאה,פסטיבל הגאה,2017,שני,לא,
580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות נורבגיה,מדינה זרה,2954,שקל חדש,0,פסטיבל הגאה,פסטיבל הגאה,2017,שני,לא,
580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות ספרד,מדינה זרה,1400,שקל חדש,0,פסטיבל הגאה,פסטיבל הגאה,2017,שני,לא,
580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות נורבגיה,מדינה זרה,2925,אירו,3.9,פסטיבל ילדים,פסטיבל ילדים,2017,שני,לא,
580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות ארגנטינה,מדינה זרה,1440,שקל חדש,0,פסטיבל הגאה,פסטיבל הגאה,2017,שני,לא,
580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות ארגנטינה,מדינה זרה,720,שקל חדש,0,פסטיבל הסטודנטים,פסטיבל הסטודנטים,2017,שני,לא,
580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות ארצות הברית,מדינה זרה,53910,שקל חדש,0,פסטיבל הסטודנטים,פסטיבל הסטודנטים,2017,שני,לא,
580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות גרמניה,מדינה זרה,4680,שקל חדש,0,פסטיבל הסטודנטים,פסטיבל הסטודנטים,2017,שני,לא,
580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות שבדיה,מדינה זרה,1500,שקל חדש,0,פסטיבל הסטודנטים,פסטיבל הסטודנטים,2017,שני,לא,
580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות מקסיקו,מדינה זרה,890,דולר ארה~ב,3.56,פסטיבל הילדים,פסטיבל הילדים,2017,שני,לא,
580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות בלגיה,מדינה זרה,1940,אירו,3.99,פסטיבל הגאה,פסטיבל הגאה,2017,שני,לא,
580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות אקוודור,מדינה זרה,1400,שקל חדש,0,פסטיבל הגאה,פסטיבל הגאה,2017,שני,לא,
580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות שוויץ,מדינה זרה,1580,שקל חדש,0,פסטיבל ילדים,פסטיבל ילדים,2017,שני,לא,
580002053,סינמטק תל - אביב (ע~ר),14/08/2018,המכון הפולני,מדינה זרה,7825,שקל חדש,0,פסטיבל הסטודנטים,פסטיבל הסטודנטים,2017,שני,לא,
580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות אוסטריה,מדינה זרה,3950,אירו,3.95,פסטיבל הסטודנטים,פסטיבל הסטודנטים,2017,שני,לא,
580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות ספרד,מדינה זרה,2920,דולר ארה~ב,3.65,פסטיבל הסטודנטים,פסטיבל הסטודנטים,2017,שלישי,לא,
580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות אוסטריה,מדינה זרה,1596,אירו,4.2,פסטיבל הגאה,פסטיבל הגאה,2017,שלישי,לא,
580002053,סינמטק תל - אביב (ע~ר),14/08/2018,wider,מדינה זרה,69094,שקל חדש,0,פסטיבל הגאה,פסטיבל הגאה,2017,רביעי,לא,
580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות סין,מדינה זרה,72080,דולר ארה~ב,3.6,פסטיבל הסיני,פסטיבל הסיני,2017,רביעי,לא,
580002053,סינמטק תל - אביב (ע~ר),24/07/2017,שגרירות שבדיה,מדינה זרה,6000,אירו,4.3,פסטיבל גאה,פסטיבל גאה,2016,ראשון,לא,
580002053,סינמטק תל - אביב (ע~ר),24/07/2017,שגרירות אירלנד,מדינה זרה,4095,אירו,4.3,פסטיבל גאה,פסטיבל גאה,2016,ראשון,לא,
580002053,סינמטק תל - אביב (ע~ר),24/07/2017,שגרירות נורבגיה,מדינה זרה,16000,כתר נורבגי,0.45,פסטיבל הגאה,פסטיבל גאה,2016,שני,לא,
580002053,סינמטק תל - אביב (ע~ר),24/07/2017,שגרירות פולין,מדינה זרה,4300,אירו,4.3,פסטיבל סטודנטים,פסטיבל סטודנטים,2016,שני,לא,
580002053,סינמטק תל - אביב (ע~ר),24/07/2017,שגרירות אוסטריה,מדינה זרה,6465,אירו,4.3,פסטיבל סטודנטיןם,פסטיבל סטודנטים,2016,שני,לא,
580002053,סינמטק תל - אביב (ע~ר),24/07/2017,שגרירות נורבגיה,מדינה זרה,2078,כתר נורבגי,0.45,פסטיבל סטודנטים,פסטיבל סטודנטים,2016,שלישי,לא,
580002053,סינמטק תל - אביב (ע~ר),24/07/2017,שגרירות פינלנד,מדינה זרה,2940,אירו,4.3,פסטיבל ילדים,פסטיבל ילדים,2016,שלישי,לא,
580002053,סינמטק תל - אביב (ע~ר),24/07/2017,שגרירות צרפת,מדינה זרה,2048,אירו,4.3,פסטיבל סטודנטים,פסטיבל סטודנטים,2016,שלישי,לא,
580002053,סינמטק תל - אביב (ע~ר),03/01/2017,שגרירות קנדה,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,4821,שקל חדש,2.98,תרומה לפסטיבל הגאה 2015,לקיים את הפסטיבל 2015,2015,שני,לא,
580002053,סינמטק תל - אביב (ע~ר),03/01/2017,שגרירות שבדיה,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,4000,שקל חדש,0.46,תרומה לפסטיבל הגאה 2015,קיום הפסטיבל ב2015,2015,שני,לא,
580002053,סינמטק תל - אביב (ע~ר),03/01/2017,שגרירות אוסטריה,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,5064,שקל חדש,4.32,תרומה לפסטיבל הסטודנטים,קיום הפסטיבל בשנת 2015,2015,שלישי,לא,
580002053,סינמטק תל - אביב (ע~ר),03/01/2017,שגרירות נורבגיה,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,2795,שקל חדש,0.46,פסטיבל סרטי ילדים ונוער הבינלאומי 2015,קיום הפסטיבל בשנת 2015,2015,שלישי,לא,
580002053,סינמטק תל - אביב (ע~ר),03/01/2017,שגרירות דנמרק,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,3213,שקל חדש,0.58,פסטיבל סרטי ילדים ונוער הבינלאומי 2015,קיום הפסטיבל בשנת 2015,2015,שלישי,לא,
580002053,סינמטק תל - אביב (ע~ר),03/01/2017,שגרירות קנדה,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,13011,שקל חדש,2.98,פסטיבל סרטי ילדים ונוער 2015,קיום הפסטיבל בשנת 2015,2015,שלישי,לא,
580002780,קרן להנצחת זכר חללי גיטו טרזין (טרזיינשטט) (ע~ר),19/08/2018,ממשלת צ'כיה באמצעות שגרירות צ'כיה בישראל,מדינה זרה,55332,שקל חדש,0,הקצבה לפעילות העמותה,הגשת דו~חות ביצוע לפעילות בעמותה,2018,שני,לא,
